ÅR;MÅNED_KODE;MÅNED;PO_KODE;PO_NAVN;ARTSID;UTSETTSÅR;BEHFISK_STK;BIOMASSE_KG;UTSETT_SMOLT_STK;UTSETT_SMOLT_STK_MINDRE_ENN_500G;FORFORBRUK_KG;UTTAK_STK;UTTAK_KG;UTTAK_SLØYD_KG;UTTAK_HODEKAPPET_KG;UTTAK_RUNDVEKT_KG;DØDFISK_STK;UTKAST_STK;RØMMING_STK;ANDRE_STK
2017;10;OKTOBER;(null);(null);LAKS;2014;750;9731.487;0;0;723;0;0;0;0;0;29;0;0;0
2017;10;OKTOBER;(null);(null);LAKS;2015;500359;1743954.46;0;0;235639;0;0;0;0;0;3049;0;0;914
2017;10;OKTOBER;(null);(null);LAKS;2016;7177069;26968314.802;0;0;5211812;965106;4636156.625;4119037;0;2240;169899;8786;0;23758
2017;10;OKTOBER;(null);(null);LAKS;2017;11325736;8634560.561;2218891;2218891;2629340;2902;6300;0;0;6300;176571;4252;0;196
2017;10;OKTOBER;(null);(null);REGNBUEØRRET;2015;16141;88951.752;0;0;4294;0;0;0;0;0;103;0;0;0
2017;10;OKTOBER;(null);(null);REGNBUEØRRET;2016;572765;1992672.483;0;0;412000;25725;191582.325;168795;0;0;5010;405;0;1116
2017;10;OKTOBER;(null);(null);REGNBUEØRRET;2017;310173;615724.696;25798;25798;146676;0;0;0;0;0;21417;0;0;63
2017;10;OKTOBER;01;Svenskegrensen til Jæren;LAKS;2016;936420;3615930.453;0;0;686420;94546;479836;0;0;479836;8999;2813;0;-569
2017;10;OKTOBER;01;Svenskegrensen til Jæren;LAKS;2017;5966336;1980227.809;668748;668748;729238;0;0;0;0;0;7265;0;0;0
2017;10;OKTOBER;02;Ryfylket;LAKS;2016;9514655;35359223.834;0;0;6806400;1458373;5928961.75;4962238;0;346444;180093;132867;0;60659
2017;10;OKTOBER;02;Ryfylket;LAKS;2017;12229940;7028093.396;2137636;2137636;2244643;0;0;0;0;0;93002;0;0;-28013
2017;10;OKTOBER;03;Karmøy til Sotra;LAKS;2015;121492;561090.772;0;0;106383;0;0;0;0;0;754;0;0;0
2017;10;OKTOBER;03;Karmøy til Sotra;LAKS;2016;12371786;45242977.546;0;0;8918248;1810350;7350599;6002632;0;597638;441001;63267;0;78243
2017;10;OKTOBER;03;Karmøy til Sotra;LAKS;2017;39702826;49563169.712;4479504;4790465;12773669;0;0;0;0;0;414745;0;0;335
2017;10;OKTOBER;03;Karmøy til Sotra;REGNBUEØRRET;2016;1416415;6190241.602;0;0;1487715;514101;2251336.827;1966377;15402;0;26357;7719;0;13549
2017;10;OKTOBER;03;Karmøy til Sotra;REGNBUEØRRET;2017;3658371;8770467.145;0;0;2409937;177792;514481.36;445580;6910;0;83770;1477;0;581
2017;10;OKTOBER;04;Nordhordland til Stadt;LAKS;2016;13946390;51970205.668;0;0;10147654;1606219;7361188.373;5574451;92703;972569;242047;27143;0;16393
2017;10;OKTOBER;04;Nordhordland til Stadt;LAKS;2017;32054454;33583410.874;5332248;5678395;8730147;282732;679753;0;0;679753;674255;0;0;36840
2017;10;OKTOBER;04;Nordhordland til Stadt;REGNBUEØRRET;2016;2917708;9972427.853;0;0;2046853;592757;2340805.297;1416979;54602;663408;33351;2891;0;19882
2017;10;OKTOBER;04;Nordhordland til Stadt;REGNBUEØRRET;2017;9100468;5934197.693;2629467;3021775;1871053;0;0;0;0;0;55171;0;0;0
2017;10;OKTOBER;05;Stadt til Hustadvika;LAKS;2016;6014005;22362880.089;0;0;5101087;1530897;8379895.5;7448796;0;0;241669;22461;0;11931
2017;10;OKTOBER;05;Stadt til Hustadvika;LAKS;2017;9572332;12353741.836;197632;911434;2703749;43228;102507.75;91118;0;0;244059;698;0;284
2017;10;OKTOBER;05;Stadt til Hustadvika;REGNBUEØRRET;2016;473366;1646652.79;0;0;330994;242328;1111216;0;0;1111216;4595;0;0;-2775
2017;10;OKTOBER;05;Stadt til Hustadvika;REGNBUEØRRET;2017;2553307;2952571.708;0;0;916015;0;0;0;0;0;21003;0;0;154
2017;10;OKTOBER;06;Nordmøre til Sør-Trøndelag;LAKS;2016;19565887;73650352.738;0;0;15257101;3800157;19771137.606;16918340;32241;697188;435695;5220;0;-38300
2017;10;OKTOBER;06;Nordmøre til Sør-Trøndelag;LAKS;2017;48977662;57688164.07;2787111;4108268;16961274;0;0;0;0;0;208357;0;0;957
2017;10;OKTOBER;06;Nordmøre til Sør-Trøndelag;REGNBUEØRRET;2017;939629;259930.193;0;0;161560;0;0;0;0;0;4258;0;0;0
2017;10;OKTOBER;07;Nord-Trøndelag med Bindal;LAKS;2016;11797325;41769102.815;0;0;9601266;2055975;8816131.384;7784940;44774;1390;171265;2421;0;115
2017;10;OKTOBER;07;Nord-Trøndelag med Bindal;LAKS;2017;21816317;20501976.346;2155925;2155925;7137850;0;0;0;0;0;58123;0;0;50
2017;10;OKTOBER;08;Helgeland til Bodø;LAKS;2016;13055691;46020305.04;0;0;12022791;3174009;15878802.75;14112958;0;1725;119617;6097;0;-25076
2017;10;OKTOBER;08;Helgeland til Bodø;LAKS;2017;31607312;33351976.527;3121249;3121249;10796499;5;2;0;0;2;107853;0;0;-69953
2017;10;OKTOBER;09;Vestfjorden og Vesterålen;LAKS;2015;3911;50843;0;0;200;0;0;0;0;0;28;0;0;0
2017;10;OKTOBER;09;Vestfjorden og Vesterålen;LAKS;2016;10098355;30407691.005;0;0;7579882;2637426;14411611.128;12810312;8;0;94119;1853;0;756
2017;10;OKTOBER;09;Vestfjorden og Vesterålen;LAKS;2017;20719256;16038170.1;1950596;1950596;5356700;0;0;0;0;0;68060;0;0;17
2017;10;OKTOBER;09;Vestfjorden og Vesterålen;REGNBUEØRRET;2016;721601;1554859.304;0;0;523611;87246;398041.095;350697;0;0;3182;0;0;179323
2017;10;OKTOBER;09;Vestfjorden og Vesterålen;REGNBUEØRRET;2017;897241;282914.738;509910;509910;109538;0;0;0;0;0;3963;0;0;0
2017;10;OKTOBER;10;Andøya til Senja;LAKS;2016;15468006;50896979.581;0;0;12062313;3011452;14665855.065;12370439;591715;0;81528;6193;0;-51867
2017;10;OKTOBER;10;Andøya til Senja;LAKS;2017;25120104;15075716.173;6396960;6396960;5259856;0;0;0;0;0;80763;0;0;829
2017;10;OKTOBER;11;Kvaløy til Loppa;LAKS;2016;5735231;22690008.685;0;0;5878450;1439432;6432635.25;5717898;0;0;54831;2815;0;-3946
2017;10;OKTOBER;11;Kvaløy til Loppa;LAKS;2017;17445560;18221116.962;1198536;1198536;5659535;0;0;0;0;0;143352;0;0;-18665
2017;10;OKTOBER;12;Vest-Finnmark;LAKS;2015;0;0;0;0;10248;336597;1712611.125;1522321;0;0;1460;3668;0;-15539
2017;10;OKTOBER;12;Vest-Finnmark;LAKS;2016;15037801;55739528.89;0;0;11479581;1913195;9547142.625;8486349;0;0;123885;21025;0;4371
2017;10;OKTOBER;12;Vest-Finnmark;LAKS;2017;22046439;13761261.453;1510937;1510937;4431380;0;0;0;0;0;98029;0;0;1199
