Dato;index;PO;BEHFISK_STK;BIOMASSE_KG;FORFORBRUK_KG;DØDFISK_STK;% Dødfisk;Tetthet;% FORFORBRUK
2017-10-31;0;1.0;6902756;5596158.262;1415658;16264;0.23561603510250112;1217.0853114397564;25.296961481823082
2017-11-30;1;1.0;6786911;6490275.109999999;1538043;21422;0.3156369665080329;1411.5430861244017;23.697654936540896
2017-12-31;2;1.0;6605088;7481594.271;1679961;21594;0.3269297850384431;1627.1409897781643;22.454585735981833
2018-01-31;3;1.0;6286393;7593363.087;1215392;15974;0.25410438068380387;1651.4491272292303;16.00597766858768
2018-02-28;4;1.0;5699273;5137993.807;648529;9176;0.1610029910832487;1117.441019356242;12.622222298447392
2018-03-31;5;1.0;5654524;5464255.218;566249;5819;0.10290875058625625;1188.3982640278382;10.362784632289845
2018-04-30;6;1.0;5951376;6198655.5430000005;760037;13148;0.22092369898994788;1348.1199528055677;12.26132013188396
2018-05-31;7;1.0;5939326;7434385.402;1330112;12050;0.20288497381689435;1616.8737281426706;17.891351175339565
2018-06-30;8;1.0;5839138;9293815.275999999;2100800;10850;0.1858150980504314;2021.2734397564157;22.60427970227714
2018-07-31;9;1.0;5804744;11887399.953;2958406;34394;0.5925153632959524;2585.341442583732;24.886905561324138
2018-08-31;10;1.0;6139801;13835558.912;2588366;63943;1.0414506919686812;3009.0384758590694;18.70806966645223
2018-09-30;11;1.0;5753811;15556761.361;2181600;102372;1.7792033836356458;3383.375676598521;14.023484383254466
2018-10-31;12;1.0;6877240;18282220.448000003;3540116;61081;0.8881615299160709;3976.124499347543;19.363709184391077
2018-11-30;13;1.0;7079567;18602008.36;3614415;55587;0.7851751385360151;4045.6738494997826;19.430240703321562
2018-12-31;14;1.0;6297094;17330151.917;2508692;55207;0.8767059853322817;3769.0630528490647;14.47588002698984
2019-01-31;15;1.0;6034221;18086409.998;2522669;78629;1.3030513797887084;3933.5384945628534;13.94787025329492
2019-02-28;16;1.0;5314235;15969423.54;1748232;67278;1.2659959523807285;3473.1238668986516;10.947370740221473
2019-03-31;17;1.0;4312543;11803357.874;1522428;46703;1.0829573177589185;2567.0634784688996;12.89826180186867
2019-04-30;18;1.0;3717205;9469799.589;1525033;21351;0.5743831723028457;2059.5475400173987;16.104173965534173
2019-05-31;19;1.0;2734094;4385966.874;957020;10890;0.3983037891162484;953.8857925184863;21.82004624050428
2019-06-30;20;1.0;2352825;2834365.463;722192;24955;1.0606398690935366;616.4344199652022;25.47984758590745
2019-07-31;21;1.0;2738043;3892372.7879999997;1116569;7666;0.2799809937243498;846.5360565463244;28.686075584597887
2019-08-31;22;1.0;4045142;5158223.541;1234979;34583;0.8549267244512059;1121.840700521966;23.941944163214387
2019-11-30;23;1.0;7455172;7627824.301;1928766;62685;0.8408256710911565;1658.9439541104828;25.28592589301173
2019-12-31;24;1.0;7133430;7793459.615;1757397;32425;0.45454991497778763;1694.9672933884299;22.549638887170907
2020-01-31;25;1.0;6762390;7346614.029999999;1384047;28126;0.415918040811015;1597.784695519791;18.839250222595403
2020-02-29;26;1.0;6708475;8147199.979;1050929;49755;0.741673778317725;1771.900821879078;12.899266038747617
2020-03-31;27;1.0;6662138;9146604.132;1292413;46337;0.6955274718116017;1989.257096998695;14.129976342568579
2020-04-30;28;1.0;6541044;9250958.118;1527281;32724;0.5002871101310433;2011.9526137451066;16.509435893221713
2020-05-31;29;1.0;6470875;10590838.813;1923093;25774;0.39830780226785406;2303.3577235754674;18.158080147905277
2020-06-30;30;1.0;6036856;11002264.632;3135127;21451;0.3553339685425658;2392.8370230535015;28.495288059891855
2020-07-31;31;1.0;5788256;12343268.768000001;3238652;19298;0.33339921385647076;2684.486465419748;26.238203679046713
2020-08-31;32;1.0;6011588;14110435.565;2500340;147200;2.4486042623014086;3068.820262070465;17.71979318768818
2020-09-30;33;1.0;5466548;14406738.353;2509129;127339;2.3294225167326803;3133.261929752066;17.416357113735664
2020-10-31;34;1.0;5457265;16247308.256000001;3135042;103802;1.902088317133216;3533.5598642888212;19.29576241555123
2020-11-30;35;1.0;5313808;18310692.471;3307393;57557;1.083159195815882;3982.3167618529797;18.062632012624118
