PO;Brakkvannslag
1.0;101.96
1.0;132.93
1.0;481.19
1.0;306.47
1.0;1606.42
1.0;1370.1
1.0;1841.84
1.0;1255.55
1.0;362.6
1.0;270.13
1.0;366.3
1.0;115.81
1.0;156.42
1.0;74.5
1.0;31.26
1.0;273.73
1.0;2107.13
1.0;3254.0
1.0;1238.68
1.0;700.29
1.0;430.37
1.0;263.52
1.0;231.17
1.0;153.35
1.0;362.94
1.0;483.29
1.0;658.97
1.0;719.1
1.0;1836.77
1.0;2760.1
1.0;1474.45
1.0;1235.26
1.0;438.33
1.0;487.71
1.0;516.27
1.0;277.58
1.0;131.81
1.0;152.32
1.0;307.58
1.0;390.97
1.0;641.74
1.0;1506.87
1.0;1603.16
1.0;1426.26
1.0;1397.5
1.0;511.32
1.0;222.27
1.0;233.71
1.0;152.61
1.0;182.45
1.0;300.94
1.0;468.0
1.0;1197.29
1.0;2676.17
1.0;1626.68
1.0;593.9
1.0;490.97
1.0;117.23
1.0;84.7
1.0;98.61
1.0;153.87
1.0;164.46
1.0;262.35
1.0;313.17
1.0;1558.1
1.0;2218.63
1.0;762.65
1.0;921.81
1.0;710.87
1.0;563.0
1.0;249.73
1.0;133.87
1.0;193.9
1.0;183.0
1.0;36.19
1.0;1005.43
1.0;4120.03
1.0;3244.57
1.0;870.9
1.0;625.58
1.0;462.13
1.0;320.42
1.0;394.53
1.0;279.52
1.0;166.48
1.0;532.93
1.0;544.97
1.0;999.5
1.0;1064.13
1.0;1622.93
1.0;502.39
1.0;734.32
1.0;505.43
1.0;722.81
1.0;563.33
1.0;641.03
1.0;495.61
1.0;404.28
1.0;485.32
1.0;359.1
1.0;517.61
1.0;2405.5
1.0;1003.29
1.0;726.0
1.0;267.7
1.0;918.39
1.0;1030.07
1.0;944.1
1.0;372.26
1.0;369.57
1.0;507.77
1.0;295.77
1.0;1097.71
1.0;2888.17
1.0;1041.84
1.0;403.1
1.0;268.1
1.0;551.35
1.0;502.43
1.0;346.42
1.0;211.58
1.0;212.32
1.0;669.29
1.0;434.9
1.0;581.45
1.0;643.9
1.0;403.35
1.0;430.35
1.0;264.67
1.0;511.1
1.0;746.23
1.0;422.23
1.0;490.52
1.0;407.14
1.0;250.74
1.0;1336.0
1.0;1558.03
1.0;1747.63
1.0;1077.32
1.0;1740.68
1.0;2027.8
1.0;542.65
1.0;291.3
1.0;130.03
1.0;134.84
1.0;235.28
1.0;783.9
1.0;886.0
1.0;2772.39
1.0;2791.83
1.0;2017.16
1.0;1661.67
2.0;275.63
2.0;76.31
2.0;287.61
2.0;52.03
2.0;173.55
2.0;163.73
2.0;278.26
2.0;274.55
2.0;199.37
2.0;118.29
2.0;167.47
2.0;10.87
2.0;186.16
2.0;84.21
2.0;6.29
2.0;42.8
2.0;172.35
2.0;266.0
2.0;221.45
2.0;148.03
2.0;99.03
2.0;73.58
2.0;235.3
2.0;178.42
2.0;134.58
2.0;41.79
2.0;273.13
2.0;214.8
2.0;150.97
2.0;194.17
2.0;233.74
2.0;166.26
2.0;57.8
2.0;82.35
2.0;122.4
2.0;153.87
2.0;224.39
2.0;118.43
2.0;169.35
2.0;104.5
2.0;146.94
2.0;311.5
2.0;331.68
2.0;213.48
2.0;178.13
2.0;106.94
2.0;208.27
2.0;418.68
2.0;34.81
2.0;203.93
2.0;50.74
2.0;68.07
2.0;133.55
2.0;283.57
2.0;261.58
2.0;299.26
2.0;186.73
2.0;78.32
2.0;37.63
2.0;223.03
2.0;430.58
2.0;97.82
2.0;142.06
2.0;337.97
2.0;235.84
2.0;618.7
2.0;410.94
2.0;293.35
2.0;150.2
2.0;288.58
2.0;272.17
2.0;259.68
2.0;96.97
2.0;110.71
2.0;2.84
2.0;103.73
2.0;420.65
2.0;452.8
2.0;187.74
2.0;164.26
2.0;283.07
2.0;677.29
2.0;144.47
2.0;66.84
2.0;119.87
2.0;102.64
2.0;74.61
2.0;68.1
2.0;156.03
2.0;234.37
2.0;258.29
2.0;224.23
2.0;210.83
2.0;159.42
2.0;72.93
2.0;132.71
2.0;340.81
2.0;206.24
2.0;94.1
2.0;63.73
2.0;158.13
2.0;337.87
2.0;293.55
2.0;213.48
2.0;196.0
2.0;134.13
2.0;477.87
2.0;205.94
2.0;168.74
2.0;149.54
2.0;206.13
2.0;120.33
2.0;121.68
2.0;183.27
2.0;218.45
2.0;167.94
2.0;148.17
2.0;260.9
2.0;357.0
2.0;171.29
2.0;254.9
2.0;207.07
2.0;196.0
2.0;92.7
2.0;325.68
2.0;417.8
2.0;305.19
2.0;202.39
2.0;53.03
2.0;200.68
2.0;168.53
2.0;93.39
2.0;164.39
2.0;236.82
2.0;45.58
2.0;51.83
2.0;195.81
2.0;338.43
