Dato;PO;BrakkvannsAreal_km2;BA_ano
2012-01-31;1.0;101.96;-0.9077325928773847
2012-02-29;1.0;132.93;-0.8667862044384866
2012-03-31;1.0;481.19;-0.4063409594358821
2012-04-30;1.0;306.47;-0.6373436390627559
2012-05-31;1.0;1606.42;1.0813601921011327
2012-06-30;1.0;1370.1;0.768914260041707
2012-07-31;1.0;1841.84;1.392616206511381
2012-08-31;1.0;1255.55;0.617464185915915
2012-09-30;1.0;362.6;-0.5631324416757572
2012-10-31;1.0;270.13;-0.6853898694750762
2012-11-30;1.0;366.3;-0.5582405580069189
2012-12-31;1.0;115.81;-0.8894210823872738
2013-01-31;1.0;156.42;-0.8357293537949699
2013-02-28;1.0;74.5;-0.944038302484493
2013-03-31;1.0;31.26;-1.0012072348738361
2013-04-30;1.0;273.73;-0.6806301988783686
2013-05-31;1.0;2107.13;1.7433642655670896
2013-06-30;1.0;3254.0;3.259676325913202
2013-07-31;1.0;1238.68;0.595159840647455
2013-08-31;1.0;700.29;-0.11666211839737456
2013-09-30;1.0;430.37;-0.47353164269273723
2013-10-31;1.0;263.52;-0.6941291535429198
2013-11-30;1.0;231.17;-0.7369000823772225
2013-12-31;1.0;153.35;-0.8397882951093844
2014-01-31;1.0;362.94;-0.5626829172305126
2014-02-28;1.0;483.29;-0.403564484921136
2014-03-31;1.0;658.97;-0.17129255980180685
2014-04-30;1.0;719.1;-0.09179283952957745
2014-05-31;1.0;1836.77;1.3859130037543512
2014-06-30;1.0;2760.1;2.60667596265935
2014-07-31;1.0;1474.45;0.9068786008101611
2014-08-31;1.0;1235.26;0.5906381535805827
2014-09-30;1.0;438.33;-0.4630074821511283
2014-10-31;1.0;487.71;-0.39772066713295623
2014-11-30;1.0;516.27;-0.35996061373240956
2014-12-31;1.0;277.58;-0.6755399956013342
2015-01-31;1.0;131.81;-0.8682669908463513
2015-02-28;1.0;152.32;-0.8411500897523313
2015-03-31;1.0;307.58;-0.6358760739621044
2015-04-30;1.0;390.97;-0.5256235931122589
2015-05-31;1.0;641.74;-0.19407287212993782
2015-06-30;1.0;1506.87;0.9497420787949552
2015-07-31;1.0;1603.16;1.0770500459496697
2015-08-31;1.0;1426.26;0.8431651213503452
2015-09-30;1.0;1397.5;0.8051406418055369
2015-10-31;1.0;511.32;-0.3665051608028824
2015-11-30;1.0;222.27;-0.7486670457968606
2015-12-31;1.0;233.71;-0.733541870345101
2016-01-31;1.0;152.61;-0.840766671843152
