;Dato;PO;Temperature;% Dødfisk;Tetthet;BA_ano;% FORFORBRUK;% Rensefisk;badebehandling;ferskvannsbehandling;fôrbehandling;mekanisk behandling;termisk behandling
0;2017-10-31;1.0;13.19;0.23561603510250112;1.2170853114397564;-0.3288997255425504;25.296961481823082;0.0;0.0;0.0;0.0;0.0;0.0
1;2017-11-30;1.0;10.21;0.3156369665080329;1.4115430861244018;-0.7328648386929089;23.697654936540896;0.0;0.0;0.0;0.0;0.0;0.0
2;2017-12-31;1.0;7.04;0.3269297850384431;1.6271409897781643;-0.8822675839592942;22.454585735981833;0.0;0.0;0.0;0.0;0.0;0.0
3;2018-01-31;1.0;4.87;0.25410438068380387;1.6514491272292302;-0.8048582382114856;16.00597766858768;0.0;0.0;0.0;0.0;0.0;0.0
4;2018-02-28;1.0;3.38;0.1610029910832487;1.1174410193562418;-0.8189139081873495;12.622222298447392;0.0;0.0;0.0;0.0;0.0;0.0
5;2018-03-31;1.0;3.05;0.10290875058625625;1.188398264027838;-1.008227019119147;10.362784632289845;0.0;0.0;0.0;0.0;0.0;0.0
6;2018-04-30;1.0;4.88;0.22092369898994788;1.3481199528055676;0.24161862926676128;12.26132013188396;0.28228765919007637;1.0;0.0;0.0;0.0;0.0
7;2018-05-31;1.0;11.65;0.20288497381689435;1.6168737281426706;4.25792961154437;17.891351175339565;0.0;0.0;0.0;1.0;0.0;0.0
8;2018-06-30;1.0;15.26;0.1858150980504314;2.0212734397564156;3.1290143053911703;22.60427970227714;0.0;0.0;0.0;0.0;0.0;0.0
9;2018-07-31;1.0;18.32;0.5925153632959524;2.585341442583732;0.06814071350043283;24.886905561324138;0.0;0.0;0.0;0.0;0.0;0.0
10;2018-08-31;1.0;18.41;1.0414506919686812;3.0090384758590694;-0.2482021267269937;18.70806966645223;0.0;0.0;0.0;0.0;0.0;0.0
11;2018-09-30;1.0;16.26;1.7792033836356458;3.383375676598521;-0.4589727008146054;14.023484383254466;0.0;0.0;0.0;0.0;0.0;0.0
12;2018-10-31;1.0;12.8;0.8881615299160709;3.976124499347543;-0.6417093056109067;19.363709184391077;0.0;0.0;0.0;0.0;0.0;0.0
13;2018-11-30;1.0;9.43;0.7851751385360151;4.045673849499782;-0.5461436448851013;19.430240703321562;0.0;0.0;0.0;0.0;0.0;0.0
14;2018-12-31;1.0;6.13;0.8767059853322817;3.7690630528490647;-0.6944503057955705;14.47588002698984;0.0;0.0;0.0;0.0;0.0;0.0
15;2019-01-31;1.0;5.38;1.3030513797887084;3.9335384945628533;-0.8402166300223286;13.94787025329492;0.0;0.0;0.0;1.0;0.0;0.0
16;2019-02-28;1.0;3.8;1.2659959523807285;3.4731238668986517;-0.36767532152183763;10.947370740221473;0.0;0.0;0.0;1.0;0.0;0.0
17;2019-03-31;1.0;4.68;1.0829573177589185;2.5670634784688997;-0.35214960899803915;12.89826180186867;0.0;0.0;0.0;1.0;0.0;0.0
18;2019-04-30;1.0;7.19;0.5743831723028457;2.0595475400173986;0.23397182899548855;16.104173965534173;0.0;0.0;0.0;0.0;0.0;0.0
19;2019-05-31;1.0;9.98;0.3983037891162484;0.9538857925184863;0.31731292537531336;21.82004624050428;0.0;0.0;0.0;0.0;0.0;0.0
20;2019-06-30;1.0;13.88;1.0606398690935366;0.6164344199652022;1.03789167606456;25.47984758590745;0.08287909215517517;0.0;0.0;0.0;0.0;0.0
21;2019-07-31;1.0;16.55;0.2799809937243498;0.8465360565463244;-0.4070569876743959;28.686075584597887;1.6566211706682474;0.0;0.0;1.0;0.0;0.0
