Dato;PO;BKD;ILA;PD;SIMFP
2013-02-28;2.0;0;0;111;0
2013-03-31;2.0;0;0;111;0
2013-04-30;2.0;0;0;111;0
2013-05-31;2.0;0;0;111;0
2013-06-30;2.0;0;0;524;0
2013-07-31;2.0;0;0;524;0
2013-08-31;2.0;0;0;558;0
2013-09-30;2.0;0;0;558;0
2013-10-31;2.0;0;0;558;0
2013-11-30;2.0;0;0;558;0
2013-12-31;2.0;0;0;558;0
2014-01-31;2.0;0;0;639;0
2014-02-28;2.0;0;0;639;0
2014-03-31;2.0;0;0;841;0
2014-04-30;2.0;0;0;967;0
2014-05-31;2.0;0;0;967;0
2014-06-30;2.0;0;0;1194;0
2014-07-31;2.0;0;0;1563;0
2014-08-31;2.0;0;0;1563;0
2014-09-30;2.0;0;0;1609;0
2014-10-31;2.0;0;0;1721;0
2014-11-30;2.0;0;0;1587;0
2014-12-31;2.0;0;0;1587;0
2015-01-31;2.0;0;0;1670;0
2015-02-28;2.0;0;0;1670;0
2015-03-31;2.0;0;0;1818;0
2015-04-30;2.0;0;0;1392;0
2015-05-31;2.0;0;0;1603;0
2015-06-30;2.0;0;0;1665;0
2015-07-31;2.0;0;0;1878;0
2015-08-31;2.0;0;0;1965;0
2015-09-30;2.0;0;0;1560;0
2015-10-31;2.0;0;0;1496;0
2015-11-30;2.0;0;0;1496;0
2015-12-31;2.0;0;0;1575;0
2016-01-31;2.0;0;0;1575;0
2016-02-29;2.0;0;0;1575;0
2016-03-31;2.0;0;0;1575;0
2016-04-30;2.0;0;0;1681;0
2016-05-31;2.0;0;0;1586;0
2016-06-30;2.0;0;0;1517;0
2016-07-31;2.0;0;0;1537;0
2016-08-31;2.0;0;0;1355;0
2016-09-30;2.0;0;0;737;0
2016-10-31;2.0;0;0;737;0
2016-11-30;2.0;0;0;737;0
2016-12-31;2.0;0;0;737;0
2017-01-31;2.0;0;0;773;0
2017-02-28;2.0;0;0;846;0
2017-03-31;2.0;0;0;841;0
2017-04-30;2.0;0;0;954;0
2017-05-31;2.0;0;0;1007;0
2017-06-30;2.0;0;0;1125;0
2017-07-31;2.0;0;0;1028;0
2017-08-31;2.0;0;0;1142;0
2017-09-30;2.0;0;15;1088;0
2017-10-31;2.0;0;15;1251;0
2017-11-30;2.0;0;15;1180;0
2017-12-31;2.0;0;20;1152;0
2018-01-31;2.0;0;5;1200;0
2018-02-28;2.0;0;0;1341;0
2018-03-31;2.0;0;0;1318;0
2018-04-30;2.0;0;0;1293;0
2018-05-31;2.0;0;0;1257;0
2018-06-30;2.0;0;0;1265;0
2018-07-31;2.0;0;0;1034;0
2018-08-31;2.0;0;0;853;0
2018-09-30;2.0;0;0;853;0
2018-10-31;2.0;0;0;755;0
2018-11-30;2.0;0;0;728;0
2018-12-31;2.0;0;0;728;0
2019-01-31;2.0;0;0;728;0
2019-02-28;2.0;0;0;728;0
2019-03-31;2.0;0;0;728;0
2019-04-30;2.0;0;0;684;0
2019-05-31;2.0;0;0;638;0
2019-06-30;2.0;0;0;556;0
2019-07-31;2.0;0;0;295;0
2019-10-31;2.0;0;0;23;0
2019-11-30;2.0;0;41;43;0
2019-12-31;2.0;0;41;43;0
2020-01-31;2.0;0;41;70;0
2020-02-29;2.0;0;41;81;0
2020-03-31;2.0;0;41;104;0
2020-04-30;2.0;0;0;78;0
2020-05-31;2.0;0;0;103;0
2020-06-30;2.0;0;0;208;0
2020-07-31;2.0;0;51;373;0
2020-08-31;2.0;0;51;401;0
2020-09-30;2.0;0;51;439;0
2020-10-31;2.0;0;51;471;0
2020-11-30;2.0;0;77;471;0
2020-12-31;2.0;0;77;471;0
2021-01-31;2.0;0;77;471;0
2021-02-28;2.0;0;77;471;0
2021-03-31;2.0;0;77;471;0
2021-04-30;2.0;0;77;445;0
2021-05-31;2.0;0;77;461;0
2021-06-30;2.0;0;51;612;0
2021-07-31;2.0;0;0;497;0
2021-08-31;2.0;0;0;432;0
2021-09-30;2.0;0;0;472;0
2021-10-31;2.0;0;0;472;0
2021-11-30;2.0;0;23;522;0
2021-12-31;2.0;0;23;576;0
2022-01-31;2.0;0;47;697;0
2022-02-28;2.0;0;47;766;0
2022-03-31;2.0;0;47;853;0
2022-04-30;2.0;0;47;843;0
2022-05-31;2.0;0;24;1153;0
2022-06-30;2.0;0;24;1238;0
