ÅR;MÅNED_KODE;MÅNED;FYLKE;ARTSID;UTSETTSÅR;BEHFISK_STK;BIOMASSE_KG;UTSETT_SMOLT_STK;UTSETT_SMOLT_STK_MINDRE_ENN_500G;FORFORBRUK_KG;UTTAK_STK;UTTAK_KG;UTTAK_SLØYD_KG;UTTAK_HODEKAPPET_KG;UTTAK_RUNDVEKT_KG;DØDFISK_STK;UTKAST_STK;RØMMING_STK;ANDRE_STK
2005;1;JANUAR;Møre og Romsdal;LAKS;2003;4354895;17352994.9;0;0;2078590;1037287;5623165.9;13423;0;5608065;36681;9008;0;0
2005;1;JANUAR;Møre og Romsdal;REGNBUEØRRET;2003;463991;1556515.1;0;0;249805;203831;989425;0;0;989425;1419;0;0;0
2005;1;JANUAR;Møre og Romsdal;LAKS;2004;14888741;17416679.6;0;0;2100646;33081;28674.9;25391;0;110;150091;64;0;0
2005;1;JANUAR;Møre og Romsdal;REGNBUEØRRET;2004;4358547;4459118.5;0;0;1018525;183935;600942.1;88912;394966;0;14320;1008;0;0
2005;1;JANUAR;Møre og Romsdal;LAKS;2005;175288;20605.8;176095;176095;3650;0;0;0;0;0;807;0;0;0
2005;1;JANUAR;Møre og Romsdal;REGNBUEØRRET;2005;65328;8949.9;67000;67000;480;0;0;0;0;0;1672;0;0;0
2005;1;JANUAR;Nordland;LAKS;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2005;1;JANUAR;Nordland;LAKS;2001;813358;1713688.6;0;0;143375;0;0;0;0;0;447;0;0;0
2005;1;JANUAR;Nordland;LAKS;2002;55723;227294.1;0;0;16500;33800;205200;0;0;205200;362;0;0;0
2005;1;JANUAR;Nordland;REGNBUEØRRET;2002;0;0;0;0;0;12810;54255;0;0;54255;0;0;0;0
2005;1;JANUAR;Nordland;LAKS;2003;8282902;35358978.6;0;0;4363373;1050182;5904164;0;0;5904164;28419;3578;0;0
2005;1;JANUAR;Nordland;REGNBUEØRRET;2003;1248499;3774282.6;0;0;411137;177231;710327;0;0;710327;3428;0;0;0
2005;1;JANUAR;Nordland;LAKS;2004;21145941;28390102;0;0;4232088;68965;368480;0;0;368480;197456;51;0;0
2005;1;JANUAR;Nordland;REGNBUEØRRET;2004;1897132;988119.6;0;0;194769;0;0;0;0;0;9091;0;0;0
2005;1;JANUAR;Nordland;REGNBUEØRRET;2005;335652;59323.8;278300;278300;26873;0;0;0;0;0;1548;0;0;0
2005;1;JANUAR;Rogaland og Agder;LAKS;1999;53;184.9;0;0;0;0;0;0;0;0;3;0;0;0
2005;1;JANUAR;Rogaland og Agder;REGNBUEØRRET;1999;71;272.1;0;0;0;0;0;0;0;0;0;0;0;0
2005;1;JANUAR;Rogaland og Agder;LAKS;2000;386;1417.6;0;0;0;0;0;0;0;0;10;0;0;0
2005;1;JANUAR;Rogaland og Agder;REGNBUEØRRET;2001;870;5655;0;0;100;0;0;0;0;0;90;0;0;0
2005;1;JANUAR;Rogaland og Agder;LAKS;2002;433456;180536.5;0;0;19599;0;0;0;0;0;1252;0;0;0
2005;1;JANUAR;Rogaland og Agder;REGNBUEØRRET;2002;7299;40834.3;0;0;950;0;0;0;0;0;1130;0;0;0
2005;1;JANUAR;Rogaland og Agder;LAKS;2003;5358705;21140604;0;0;3019659;450276;2338210;0;0;2338210;8917;16949;0;0
2005;1;JANUAR;Rogaland og Agder;REGNBUEØRRET;2003;3260;14409.2;0;0;630;0;0;0;0;0;40;0;0;0
2005;1;JANUAR;Rogaland og Agder;LAKS;2004;14601527;14601219.2;0;0;2159700;950;1210;0;0;1210;87734;0;0;0
2005;1;JANUAR;Rogaland og Agder;REGNBUEØRRET;2004;4728;3309.6;0;0;740;0;0;0;0;0;22;0;0;0
2005;1;JANUAR;Rogaland og Agder;LAKS;2005;63643;10776.1;0;0;3092;0;0;0;0;0;256;0;0;0
2005;1;JANUAR;Troms og Finnmark;LAKS;2002;164223;875558.3;0;0;59590;0;0;0;0;0;1128;0;0;0
2005;1;JANUAR;Troms og Finnmark;REGNBUEØRRET;2002;0;0;0;0;0;40503;178515.1;157282;0;0;61;520;0;659
