PO;Temperature
1.0;4.92
1.0;2.91
1.0;4.44
1.0;6.02
1.0;9.95
1.0;13.44
1.0;16.54
1.0;17.97
1.0;15.4
1.0;12.38
1.0;9.58
1.0;5.32
1.0;2.89
1.0;1.73
1.0;2.4
1.0;4.44
1.0;9.52
1.0;14.35
1.0;17.07
1.0;18.43
1.0;16.51
1.0;12.67
1.0;9.9
1.0;7.76
1.0;5.18
1.0;3.15
1.0;4.52
1.0;6.92
1.0;11.06
1.0;14.96
1.0;19.23
1.0;19.0
1.0;16.57
1.0;13.26
1.0;10.44
1.0;7.44
1.0;6.08
1.0;4.37
1.0;4.37
1.0;6.19
1.0;9.43
1.0;12.7
1.0;16.1
1.0;17.55
1.0;15.82
1.0;12.65
1.0;10.1
1.0;8.51
1.0;4.61
1.0;4.03
1.0;4.04
1.0;6.52
1.0;10.32
1.0;15.91
1.0;17.29
1.0;17.42
1.0;17.39
1.0;12.96
1.0;8.72
1.0;6.92
1.0;5.46
1.0;3.69
1.0;4.41
1.0;6.5
1.0;10.07
1.0;13.92
1.0;16.57
1.0;17.3
1.0;15.97
1.0;13.19
1.0;10.21
1.0;7.04
1.0;4.87
1.0;3.38
1.0;3.05
1.0;4.88
1.0;11.65
1.0;15.26
1.0;18.32
1.0;18.41
1.0;16.26
1.0;12.8
1.0;9.43
1.0;6.13
1.0;5.38
1.0;3.8
1.0;4.68
1.0;7.19
1.0;9.98
1.0;13.88
1.0;16.55
1.0;18.25
1.0;15.75
1.0;11.98
1.0;9.04
1.0;6.95
1.0;6.56
1.0;5.91
1.0;5.44
1.0;7.09
1.0;9.6
1.0;16.34
1.0;16.18
1.0;18.26
1.0;16.08
1.0;13.01
1.0;10.74
1.0;7.86
1.0;5.04
1.0;2.82
1.0;4.08
1.0;6.01
1.0;9.26
1.0;14.05
1.0;17.95
1.0;17.15
1.0;15.74
1.0;12.71
1.0;10.21
1.0;6.08
1.0;5.41
1.0;5.26
1.0;4.61
1.0;6.24
1.0;10.12
1.0;14.28
1.0;16.38
1.0;17.78
1.0;15.87
1.0;12.22
1.0;10.86
1.0;6.59
1.0;5.53
1.0;5.24
1.0;4.55
1.0;6.01
1.0;9.61
1.0;15.41
1.0;15.65
1.0;16.63
1.0;16.41
1.0;13.09
1.0;8.87
1.0;6.4
1.0;4.88
1.0;4.29
1.0;4.19
1.0;6.04
1.0;11.77
1.0;13.83
1.0;16.02
1.0;17.22
2.0;5.15
2.0;4.46
2.0;5.5
2.0;6.41
2.0;9.19
2.0;12.3
2.0;15.42
2.0;16.89
2.0;14.29
2.0;11.84
2.0;9.38
2.0;6.68
2.0;3.75
2.0;2.02
2.0;3.27
2.0;5.16
2.0;8.57
2.0;12.87
2.0;15.32
2.0;17.25
2.0;15.88
2.0;12.88
2.0;9.52
2.0;7.8
2.0;6.01
2.0;4.56
2.0;4.62
2.0;7.03
2.0;10.48
2.0;13.62
2.0;17.94
2.0;18.17
2.0;16.31
2.0;13.22
2.0;10.5
2.0;7.82
2.0;6.3
2.0;5.57
2.0;5.16
2.0;6.57
2.0;8.89
2.0;11.82
2.0;14.79
2.0;16.44
2.0;15.43
2.0;12.7
2.0;9.94
2.0;8.05
2.0;6.47
2.0;4.66
2.0;4.81
2.0;6.51
2.0;9.71
2.0;15.0
2.0;16.05
2.0;16.32
2.0;16.81
2.0;13.34
2.0;9.35
2.0;7.18
2.0;5.57
2.0;4.66
2.0;4.96
2.0;6.86
2.0;10.69
2.0;13.81
2.0;15.41
2.0;16.73
2.0;15.78
2.0;12.89
2.0;9.81
2.0;6.9
2.0;5.21
2.0;3.59
2.0;3.89
2.0;6.08
2.0;11.3
2.0;14.75
2.0;16.47
2.0;17.66
2.0;15.48
2.0;11.77
2.0;8.96
2.0;6.74
2.0;6.19
2.0;4.93
2.0;5.0
2.0;7.55
2.0;9.66
2.0;13.63
2.0;15.32
2.0;18.14
2.0;15.32
2.0;11.91
2.0;9.09
2.0;7.81
2.0;6.39
2.0;6.12
2.0;6.09
2.0;7.9
2.0;9.89
2.0;16.05
2.0;16.42
2.0;18.07
2.0;15.57
2.0;12.93
2.0;10.27
2.0;8.35
2.0;4.98
2.0;3.79
2.0;5.39
2.0;7.12
2.0;9.62
2.0;13.56
2.0;16.53
2.0;15.92
2.0;14.85
2.0;12.45
2.0;9.92
2.0;7.1
2.0;5.61
2.0;5.86
2.0;5.26
2.0;6.68
2.0;9.34
2.0;13.31
2.0;15.07
2.0;16.5
2.0;15.32
2.0;12.07
2.0;10.66
2.0;7.54
2.0;5.84
2.0;6.19
2.0;5.9
2.0;6.4
2.0;9.12
2.0;14.38
2.0;15.67
2.0;15.89
2.0;16.0
2.0;12.52
2.0;9.18
2.0;6.88
2.0;5.91
2.0;5.61
2.0;4.89
2.0;6.05
2.0;11.32
2.0;12.78
2.0;15.48
2.0;16.4
3.0;5.88
3.0;4.91
3.0;5.67
3.0;6.52
3.0;8.95
3.0;11.88
3.0;15.35
3.0;16.82
3.0;14.4
3.0;11.76
3.0;9.75
3.0;7.06
3.0;4.94
3.0;3.1
3.0;3.48
3.0;5.25
3.0;8.41
3.0;12.91
3.0;15.37
3.0;16.78
3.0;15.68
3.0;12.88
3.0;9.89
3.0;8.12
3.0;6.2
3.0;5.06
3.0;4.9
3.0;6.93
3.0;10.11
3.0;13.96
3.0;17.78
3.0;17.92
3.0;16.29
3.0;13.18
3.0;10.51
3.0;8.49
3.0;6.79
3.0;5.63
3.0;5.61
3.0;6.55
3.0;8.78
3.0;11.71
3.0;14.7
3.0;16.19
3.0;15.26
3.0;13.02
3.0;10.37
3.0;8.38
3.0;6.26
3.0;5.37
3.0;5.12
3.0;6.54
3.0;9.45
3.0;14.3
3.0;15.87
3.0;16.42
3.0;16.69
3.0;13.37
3.0;9.79
3.0;7.8
3.0;6.14
3.0;5.03
3.0;5.34
3.0;6.76
3.0;10.37
3.0;13.58
3.0;15.58
3.0;16.62
3.0;15.77
3.0;13.16
3.0;10.14
3.0;7.43
3.0;5.7
3.0;4.23
3.0;3.87
3.0;6.21
3.0;10.72
3.0;14.05
3.0;15.94
3.0;17.31
3.0;15.37
3.0;11.94
3.0;9.43
3.0;7.47
3.0;6.81
3.0;5.79
3.0;5.3
3.0;7.5
3.0;9.5
3.0;13.1
3.0;15.32
3.0;17.72
3.0;15.32
3.0;12.14
3.0;9.56
3.0;8.51
3.0;7.01
3.0;6.38
3.0;6.13
3.0;7.6
3.0;9.73
3.0;15.27
3.0;16.34
3.0;17.68
3.0;15.2
3.0;12.96
3.0;10.71
3.0;8.79
3.0;6.27
3.0;4.84
3.0;5.72
3.0;7.11
3.0;9.78
3.0;13.91
3.0;16.87
3.0;15.81
3.0;14.46
3.0;12.29
3.0;10.06
3.0;7.92
3.0;6.51
3.0;6.28
3.0;5.74
3.0;6.68
3.0;9.12
3.0;12.85
3.0;14.88
3.0;15.95
3.0;15.17
3.0;11.91
3.0;10.65
3.0;8.46
3.0;6.72
3.0;6.53
3.0;5.93
3.0;6.52
3.0;8.73
3.0;13.56
3.0;15.75
3.0;15.64
3.0;15.67
3.0;12.54
3.0;9.79
3.0;7.87
3.0;6.62
3.0;5.77
3.0;5.31
3.0;6.06
3.0;11.44
3.0;12.55
3.0;15.35
3.0;16.31
4.0;5.94
4.0;5.39
4.0;5.62
4.0;6.29
4.0;8.72
4.0;10.87
4.0;14.4
4.0;16.43
4.0;13.65
4.0;11.27
4.0;9.35
4.0;7.14
4.0;5.25
4.0;3.97
4.0;3.85
4.0;5.04
4.0;8.19
4.0;12.38
